LGA,Field_Of_Study,Count,X,Y
Warrnambool,Society and Culture,386,111189.579,5741093.781
Wellington,"Agriculture, Environmental and Related Studies",88,519090.282,5814748.922
Wellington,Architecture and Building,41,519090.282,5814748.922
Wellington,Creative Arts,56,519090.282,5814748.922
Wellington,Education,205,519090.282,5814748.922
Wellington,Engineering and Related Technologies,176,519090.282,5814748.922
Wellington,Field of study inadequately described,28,519090.282,5814748.922
Wellington,Field of study not stated,35,519090.282,5814748.922
Wellington,"Food, Hospitality and Personal Services",150,519090.282,5814748.922
Wellington,Health,362,519090.282,5814748.922
Wellington,Information Technology,21,519090.282,5814748.922
Wellington,Management and Commerce,315,519090.282,5814748.922
Wellington,Natural and Physical Sciences,52,519090.282,5814748.922
Wellington,Not applicable,1375,519090.282,5814748.922
Wellington,Society and Culture,402,519090.282,5814748.922
West Wimmera,Creative Arts,3,24860.266,5923342.155
West Wimmera,Education,17,24860.266,5923342.155
West Wimmera,Health,15,24860.266,5923342.155
West Wimmera,Management and Commerce,3,24860.266,5923342.155
West Wimmera,Not applicable,70,24860.266,5923342.155
Whitehorse,"Agriculture, Environmental and Related Studies",158,340172.277,5812370.938
Whitehorse,Architecture and Building,597,340172.277,5812370.938
Whitehorse,Creative Arts,1290,340172.277,5812370.938
Whitehorse,Education,1002,340172.277,5812370.938
Whitehorse,Engineering and Related Technologies,1512,340172.277,5812370.938
Whitehorse,Field of study inadequately described,298,340172.277,5812370.938
Whitehorse,Field of study not stated,450,340172.277,5812370.938
Whitehorse,"Food, Hospitality and Personal Services",822,340172.277,5812370.938
Whitehorse,Health,2335,340172.277,5812370.938
Whitehorse,Information Technology,1415,340172.277,5812370.938
Whitehorse,Management and Commerce,4419,340172.277,5812370.938
Whitehorse,Mixed Field Programmes,48,340172.277,5812370.938
Whitehorse,Natural and Physical Sciences,1276,340172.277,5812370.938
Whitehorse,Not applicable,15739,340172.277,5812370.938
Whitehorse,Society and Culture,2696,340172.277,5812370.938
Whittlesea,"Agriculture, Environmental and Related Studies",156,325144.286,5838205.15
Whittlesea,Architecture and Building,823,325144.286,5838205.15
Whittlesea,Creative Arts,770,325144.286,5838205.15
Whittlesea,Education,1272,325144.286,5838205.15
Whittlesea,Engineering and Related Technologies,1798,325144.286,5838205.15
Whittlesea,Field of study inadequately described,380,325144.286,5838205.15
Whittlesea,Field of study not stated,478,325144.286,5838205.15
Whittlesea,"Food, Hospitality and Personal Services",1182,325144.286,5838205.15
Whittlesea,Health,2586,325144.286,5838205.15
Whittlesea,Information Technology,1232,325144.286,5838205.15
Whittlesea,Management and Commerce,3241,325144.286,5838205.15
Whittlesea,Mixed Field Programmes,38,325144.286,5838205.15
Whittlesea,Natural and Physical Sciences,1321,325144.286,5838205.15
Whittlesea,Not applicable,14243,325144.286,5838205.15
Whittlesea,Society and Culture,2913,325144.286,5838205.15
Wodonga,"Agriculture, Environmental and Related Studies",46,499270.215,5999044.355
Wodonga,Architecture and Building,115,499270.215,5999044.355
Wodonga,Creative Arts,107,499270.215,5999044.355
Wodonga,Education,312,499270.215,5999044.355
Wodonga,Engineering and Related Technologies,311,499270.215,5999044.355
Wodonga,Field of study inadequately described,24,499270.215,5999044.355
Wodonga,Field of study not stated,61,499270.215,5999044.355
Wodonga,"Food, Hospitality and Personal Services",206,499270.215,5999044.355
Wodonga,Health,570,499270.215,5999044.355
Wodonga,Information Technology,43,499270.215,5999044.355
Wodonga,Management and Commerce,598,499270.215,5999044.355
Wodonga,Mixed Field Programmes,28,499270.215,5999044.355
Wodonga,Natural and Physical Sciences,28,499270.215,5999044.355
Wodonga,Not applicable,2082,499270.215,5999044.355
Wodonga,Society and Culture,654,499270.215,5999044.355
Wyndham,"Agriculture, Environmental and Related Studies",267,301085.34,5801536.22
Wyndham,Architecture and Building,1095,301085.34,5801536.22
Wyndham,Creative Arts,924,301085.34,5801536.22
Wyndham,Education,1712,301085.34,5801536.22
Wyndham,Engineering and Related Technologies,2701,301085.34,5801536.22
Wyndham,Field of study inadequately described,552,301085.34,5801536.22
Wyndham,Field of study not stated,671,301085.34,5801536.22
Wyndham,"Food, Hospitality and Personal Services",1743,301085.34,5801536.22
Wyndham,Health,3092,301085.34,5801536.22
Wyndham,Information Technology,2254,301085.34,5801536.22
Wyndham,Management and Commerce,5278,301085.34,5801536.22
Wyndham,Mixed Field Programmes,47,301085.34,5801536.22
Wyndham,Natural and Physical Sciences,1573,301085.34,5801536.22
Wyndham,Not applicable,17089,301085.34,5801536.22
Wyndham,Society and Culture,3701,301085.34,5801536.22
Yarra,"Agriculture, Environmental and Related Studies",223,322315.046,5815246.921
Yarra,Architecture and Building,553,322315.046,5815246.921
Yarra,Creative Arts,1824,322315.046,5815246.921
Yarra,Education,532,322315.046,5815246.921
Yarra,Engineering and Related Technologies,628,322315.046,5815246.921
Yarra,Field of study inadequately described,544,322315.046,5815246.921
Yarra,Field of study not stated,172,322315.046,5815246.921
Yarra,"Food, Hospitality and Personal Services",387,322315.046,5815246.921
Yarra,Health,1873,322315.046,5815246.921
Yarra,Information Technology,237,322315.046,5815246.921
Yarra,Management and Commerce,2216,322315.046,5815246.921
Yarra,Mixed Field Programmes,21,322315.046,5815246.921
Yarra,Natural and Physical Sciences,1096,322315.046,5815246.921
Yarra,Not applicable,6350,322315.046,5815246.921
Yarra,Society and Culture,2895,322315.046,5815246.921
Yarra Ranges,"Agriculture, Environmental and Related Studies",294,419859.843,5823336.343
Yarra Ranges,Architecture and Building,526,419859.843,5823336.343
Yarra Ranges,Creative Arts,643,419859.843,5823336.343
Yarra Ranges,Education,969,419859.843,5823336.343
Yarra Ranges,Engineering and Related Technologies,694,419859.843,5823336.343
Yarra Ranges,Field of study inadequately described,201,419859.843,5823336.343
Yarra Ranges,Field of study not stated,170,419859.843,5823336.343
Yarra Ranges,"Food, Hospitality and Personal Services",494,419859.843,5823336.343
Yarra Ranges,Health,1561,419859.843,5823336.343
Yarra Ranges,Information Technology,201,419859.843,5823336.343
Yarra Ranges,Management and Commerce,1363,419859.843,5823336.343
Yarra Ranges,Mixed Field Programmes,10,419859.843,5823336.343
Yarra Ranges,Natural and Physical Sciences,381,419859.843,5823336.343
Yarra Ranges,Not applicable,8326,419859.843,5823336.343
Yarra Ranges,Society and Culture,1900,419859.843,5823336.343
Yarriambiack,Architecture and Building,6,97066.971,5980439.609
Yarriambiack,Education,14,97066.971,5980439.609
Yarriambiack,Engineering and Related Technologies,8,97066.971,5980439.609
Yarriambiack,"Food, Hospitality and Personal Services",4,97066.971,5980439.609
Yarriambiack,Health,45,97066.971,5980439.609
Yarriambiack,Management and Commerce,11,97066.971,5980439.609
Yarriambiack,Not applicable,162,97066.971,5980439.609
Yarriambiack,Society and Culture,23,97066.971,5980439.609
