AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Health,8
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Education,11
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Management and Commerce,38
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Society and Culture,13
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Creative Arts,7
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Field of study not stated,5
45-49 years,Male,Whitehorse,Tertiary - University or other higher education,Not applicable,11
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,5
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,24
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Health,9
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,16
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
45-49 years,Male,Whittlesea,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,17
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Natural and Physical Sciences,4
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Information Technology,6
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Engineering and Related Technologies,22
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Architecture and Building,3
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Health,9
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Management and Commerce,28
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Society and Culture,12
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Creative Arts,3
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Field of study inadequately described,3
45-49 years,Male,Whittlesea,Tertiary - University or other higher education,Not applicable,5
45-49 years,Male,Wodonga,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,12
45-49 years,Male,Wodonga,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4
45-49 years,Male,Wodonga,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
45-49 years,Male,Wodonga,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3
45-49 years,Male,Wodonga,Tertiary - University or other higher education,Health,3
45-49 years,Male,Wodonga,Tertiary - University or other higher education,Management and Commerce,7
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,14
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,21
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Health,4
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,26
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,18
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",12
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4
45-49 years,Male,Wyndham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,13
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Natural and Physical Sciences,7
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Information Technology,23
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Engineering and Related Technologies,26
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Architecture and Building,5
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Health,15
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Education,7
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Management and Commerce,40
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Society and Culture,28
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Creative Arts,4
45-49 years,Male,Wyndham,Tertiary - University or other higher education,Not applicable,11
45-49 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Health,3
45-49 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
45-49 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
45-49 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,9
45-49 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
45-49 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,11
45-49 years,Male,Yarra,Tertiary - University or other higher education,Natural and Physical Sciences,4
45-49 years,Male,Yarra,Tertiary - University or other higher education,Engineering and Related Technologies,12
45-49 years,Male,Yarra,Tertiary - University or other higher education,Architecture and Building,3
45-49 years,Male,Yarra,Tertiary - University or other higher education,Health,9
45-49 years,Male,Yarra,Tertiary - University or other higher education,Education,9
45-49 years,Male,Yarra,Tertiary - University or other higher education,Management and Commerce,13
45-49 years,Male,Yarra,Tertiary - University or other higher education,Society and Culture,16
45-49 years,Male,Yarra,Tertiary - University or other higher education,Creative Arts,9
45-49 years,Male,Yarra,Tertiary - University or other higher education,Not applicable,9
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,14
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Health,3
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Education,6
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4
45-49 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,13
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Information Technology,9
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Engineering and Related Technologies,7
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Architecture and Building,3
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",4
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Health,6
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Education,9
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Management and Commerce,5
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Society and Culture,11
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Creative Arts,6
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Field of study inadequately described,6
45-49 years,Male,Yarra Ranges,Tertiary - University or other higher education,Not applicable,5
45-49 years,Female,Alpine,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,6
45-49 years,Female,Alpine,Tertiary - University or other higher education,Health,5
45-49 years,Female,Alpine,Tertiary - University or other higher education,Society and Culture,4
45-49 years,Female,Ararat,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
45-49 years,Female,Ararat,Tertiary - University or other higher education,Health,5
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Health,5
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Education,8
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,17
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,15
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5
45-49 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,11
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Natural and Physical Sciences,3
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Health,39
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Education,30
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Management and Commerce,25
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Society and Culture,42
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Creative Arts,8
45-49 years,Female,Ballarat,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Field of study inadequately described,4
45-49 years,Female,Ballarat,Tertiary - University or other higher education,Not applicable,10
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Health,8
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Education,8
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,21
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,23
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,7
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,5
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,5
45-49 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,18
45-49 years,Female,Banyule,Tertiary - University or other higher education,Natural and Physical Sciences,7
45-49 years,Female,Banyule,Tertiary - University or other higher education,Information Technology,3
45-49 years,Female,Banyule,Tertiary - University or other higher education,Health,37
45-49 years,Female,Banyule,Tertiary - University or other higher education,Education,20
45-49 years,Female,Banyule,Tertiary - University or other higher education,Management and Commerce,28
45-49 years,Female,Banyule,Tertiary - University or other higher education,Society and Culture,34
45-49 years,Female,Banyule,Tertiary - University or other higher education,Creative Arts,10
45-49 years,Female,Banyule,Tertiary - University or other higher education,Field of study inadequately described,3
45-49 years,Female,Banyule,Tertiary - University or other higher education,Not applicable,4
45-49 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Education,4
45-49 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
45-49 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,11
45-49 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,10
45-49 years,Female,Bass Coast,Tertiary - University or other higher education,Health,10
45-49 years,Female,Bass Coast,Tertiary - University or other higher education,Education,6
45-49 years,Female,Bass Coast,Tertiary - University or other higher education,Management and Commerce,6
45-49 years,Female,Bass Coast,Tertiary - University or other higher education,Society and Culture,12
45-49 years,Female,Bass Coast,Tertiary - University or other higher education,Not applicable,3
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Health,8
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Education,3
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,8
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",8
45-49 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,16
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",4
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Health,21
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Education,9
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Management and Commerce,5
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Society and Culture,21
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Creative Arts,5
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Field of study inadequately described,4
45-49 years,Female,Baw Baw,Tertiary - University or other higher education,Not applicable,6
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,10
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Education,5
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,24
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,10
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
45-49 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,16
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,10
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Information Technology,4
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Engineering and Related Technologies,11
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Architecture and Building,3
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Health,21
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Education,17
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Management and Commerce,26
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Society and Culture,28
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Creative Arts,7
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Field of study inadequately described,7
45-49 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Not applicable,3
45-49 years,Female,Benalla,Tertiary - Vocational education (including TAFE and private training providers),Education,3
45-49 years,Female,Benalla,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
45-49 years,Female,Benalla,Tertiary - University or other higher education,Not applicable,3
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,10
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,9
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Health,14
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Education,11
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,42
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,18
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,8
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7
45-49 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,28
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Natural and Physical Sciences,7
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Engineering and Related Technologies,4
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Architecture and Building,4
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Health,41
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Education,38
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Management and Commerce,57
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Society and Culture,54
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Creative Arts,16
45-49 years,Female,Boroondara,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Field of study not stated,4
45-49 years,Female,Boroondara,Tertiary - University or other higher education,Not applicable,5
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Health,20
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Education,13
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,22
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,32
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",13
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3
45-49 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,52
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Natural and Physical Sciences,3
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Information Technology,4
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Health,22
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Education,15
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Management and Commerce,27
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Society and Culture,11
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Field of study not stated,5
45-49 years,Female,Brimbank,Tertiary - University or other higher education,Not applicable,12
45-49 years,Female,Buloke,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,5
45-49 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
45-49 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Health,3
45-49 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Education,3
45-49 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6
45-49 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7
45-49 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,6
45-49 years,Female,Campaspe,Tertiary - University or other higher education,Health,7
45-49 years,Female,Campaspe,Tertiary - University or other higher education,Education,3
45-49 years,Female,Campaspe,Tertiary - University or other higher education,Management and Commerce,6
45-49 years,Female,Campaspe,Tertiary - University or other higher education,Society and Culture,12
45-49 years,Female,Campaspe,Tertiary - University or other higher education,Not applicable,4
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Health,22
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Education,11
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,34
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,19
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
45-49 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,24
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Natural and Physical Sciences,3
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Information Technology,3
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Health,22
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Education,25
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Management and Commerce,12
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Society and Culture,26
45-49 years,Female,Cardinia,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Field of study not stated,5
45-49 years,Female,Cardinia,Tertiary - University or other higher education,Not applicable,4
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,10
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Health,50
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Education,25
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,63
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,67
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",19
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4
45-49 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,131
45-49 years,Female,Casey,Tertiary - University or other higher education,Natural and Physical Sciences,16
45-49 years,Female,Casey,Tertiary - University or other higher education,Information Technology,8
45-49 years,Female,Casey,Tertiary - University or other higher education,Engineering and Related Technologies,5
45-49 years,Female,Casey,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",4
45-49 years,Female,Casey,Tertiary - University or other higher education,Health,62
45-49 years,Female,Casey,Tertiary - University or other higher education,Education,51
45-49 years,Female,Casey,Tertiary - University or other higher education,Management and Commerce,57
45-49 years,Female,Casey,Tertiary - University or other higher education,Society and Culture,47
45-49 years,Female,Casey,Tertiary - University or other higher education,Creative Arts,5
45-49 years,Female,Casey,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6
45-49 years,Female,Casey,Tertiary - University or other higher education,Not applicable,9
45-49 years,Female,Central Goldfields,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,6
45-49 years,Female,Central Goldfields,Tertiary - University or other higher education,Health,3
45-49 years,Female,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
45-49 years,Female,Corangamite,Tertiary - Vocational education (including TAFE and private training providers),Education,5
45-49 years,Female,Corangamite,Tertiary - University or other higher education,Education,4
45-49 years,Female,Corangamite,Tertiary - University or other higher education,Management and Commerce,5
45-49 years,Female,Corangamite,Tertiary - University or other higher education,Society and Culture,3
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Health,10
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Education,11
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,14
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,27
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,16
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
45-49 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,19
45-49 years,Female,Darebin,Tertiary - University or other higher education,Natural and Physical Sciences,17
45-49 years,Female,Darebin,Tertiary - University or other higher education,Information Technology,6
45-49 years,Female,Darebin,Tertiary - University or other higher education,Architecture and Building,3
45-49 years,Female,Darebin,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
45-49 years,Female,Darebin,Tertiary - University or other higher education,Health,37
45-49 years,Female,Darebin,Tertiary - University or other higher education,Education,34
45-49 years,Female,Darebin,Tertiary - University or other higher education,Management and Commerce,24
45-49 years,Female,Darebin,Tertiary - University or other higher education,Society and Culture,52
45-49 years,Female,Darebin,Tertiary - University or other higher education,Creative Arts,32
45-49 years,Female,Darebin,Tertiary - University or other higher education,Field of study inadequately described,6
45-49 years,Female,Darebin,Tertiary - University or other higher education,Field of study not stated,4
45-49 years,Female,Darebin,Tertiary - University or other higher education,Not applicable,8
45-49 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Health,4
45-49 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Education,4
45-49 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6
45-49 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8
45-49 years,Female,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,13
45-49 years,Female,East Gippsland,Tertiary - University or other higher education,Health,17
45-49 years,Female,East Gippsland,Tertiary - University or other higher education,Education,3
45-49 years,Female,East Gippsland,Tertiary - University or other higher education,Management and Commerce,4
45-49 years,Female,East Gippsland,Tertiary - University or other higher education,Society and Culture,13
45-49 years,Female,East Gippsland,Tertiary - University or other higher education,Creative Arts,3
45-49 years,Female,East Gippsland,Tertiary - University or other higher education,Not applicable,4
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,6
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Health,16
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Education,12
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,28
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,34
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",12
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,9
45-49 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,30
45-49 years,Female,Frankston,Tertiary - University or other higher education,Natural and Physical Sciences,4
45-49 years,Female,Frankston,Tertiary - University or other higher education,Health,32
