AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
40-44 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7,323143.928,5814551.293
40-44 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,322135.407,5816628.467
40-44 years,Male,Yarra,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,16,323456.169,5815710.423
40-44 years,Male,Yarra,Tertiary - University or other higher education,Natural and Physical Sciences,7,322237.128,5815185.618
40-44 years,Male,Yarra,Tertiary - University or other higher education,Information Technology,14,323930.029,5813581.297
40-44 years,Male,Yarra,Tertiary - University or other higher education,Engineering and Related Technologies,8,322133.996,5815484.422
40-44 years,Male,Yarra,Tertiary - University or other higher education,Health,18,325155.629,5811984.41
40-44 years,Male,Yarra,Tertiary - University or other higher education,Education,12,323679.47,5816245.043
40-44 years,Male,Yarra,Tertiary - University or other higher education,Management and Commerce,20,326976.483,5815708.196
40-44 years,Male,Yarra,Tertiary - University or other higher education,Society and Culture,21,324289.773,5813094.361
40-44 years,Male,Yarra,Tertiary - University or other higher education,Creative Arts,12,323047.489,5815699.813
40-44 years,Male,Yarra,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6,326653.733,5814271.118
40-44 years,Male,Yarra,Tertiary - University or other higher education,Field of study not stated,3,322095.878,5812795.998
40-44 years,Male,Yarra,Tertiary - University or other higher education,Not applicable,8,325778.917,5815311.601
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5,379768.536,5813079.342
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,18,359797.977,5803370.416
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7,384775.545,5839323.959
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,393129.049,5808045.427
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Health,3,368915.942,5822442.433
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Education,6,390112.544,5817764.186
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6,393997.437,5818874.953
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,414702.131,5831539.28
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,7,353662.151,5833988.402
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9,367047.159,5828153.442
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,368915.942,5812296.409
40-44 years,Male,Yarra Ranges,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,11,419859.843,5830822.951
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Natural and Physical Sciences,7,359797.977,5824134.827
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Engineering and Related Technologies,8,364622.3,5830822.951
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Architecture and Building,4,386279.902,5836340.103
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Education,5,377025.093,5820525.439
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Management and Commerce,11,374452.949,5822442.433
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Society and Culture,26,381284.866,5826309.285
40-44 years,Male,Yarra Ranges,Tertiary - University or other higher education,Not applicable,8,366060.369,5811065.586
40-44 years,Female,Alpine,Tertiary - Vocational education (including TAFE and private training providers),Health,5,479776.213,5946780.395
40-44 years,Female,Alpine,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,472531.604,5953912.143
40-44 years,Female,Alpine,Tertiary - University or other higher education,Health,5,526288.365,5959201.941
40-44 years,Female,Alpine,Tertiary - University or other higher education,Society and Culture,6,479776.213,5908718.733
40-44 years,Female,Ararat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,120059.455,5876218.326
40-44 years,Female,Ararat,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",4,110931.422,5841900.181
40-44 years,Female,Ararat,Tertiary - University or other higher education,Health,4,135333.446,5860661.121
40-44 years,Female,Ararat,Tertiary - University or other higher education,Not applicable,5,118620.744,5866073.812
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3,225754.354,5852023.363
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,199291.085,5858932.351
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4,208696.318,5841274.964
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Health,16,206020.777,5857704.834
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Education,8,202729.692,5841636.743
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,19,220484.563,5843971.405
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,26,220484.563,5837744.729
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,9,206038.184,5842450.888
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,6,203004.673,5839625.649
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,210328.255,5844613.08
40-44 years,Female,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,13,225994.89,5856355.367
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Natural and Physical Sciences,8,203575.199,5841580.597
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Engineering and Related Technologies,6,208696.318,5847454.173
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Architecture and Building,4,228554.952,5843710.75
40-44 years,Female,Ballarat,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3,222694.861,5843971.405
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Health,51,209341.386,5848500.183
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Education,32,226272.737,5843252.365
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Management and Commerce,28,226357.265,5850652.289
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Society and Culture,45,203004.673,5854312.155
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Creative Arts,4,223654.456,5841533.048
40-44 years,Female,Ballarat,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3,209341.386,5841424.374
40-44 years,Female,Ballarat,Tertiary - University or other higher education,Not applicable,13,228293.469,5828889.292
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,8,330437.204,5825921.639
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,7,335461.037,5826335.237
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,334966.806,5816802.088
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,329647.512,5824215.748
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Health,16,331326.078,5821461.417
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Education,20,330082.852,5820944.363
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,25,332169.913,5826619.204
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,18,333676.714,5826055.692
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6,330414.254,5822787.053
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,329432.582,5822129.223
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,7,333491.03,5817591.12
40-44 years,Female,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,17,329491.021,5826475.59
40-44 years,Female,Banyule,Tertiary - University or other higher education,Natural and Physical Sciences,7,331571.678,5826471.572
40-44 years,Female,Banyule,Tertiary - University or other higher education,Engineering and Related Technologies,3,329022.645,5819083.256
40-44 years,Female,Banyule,Tertiary - University or other higher education,Health,51,331161.253,5823747.476
40-44 years,Female,Banyule,Tertiary - University or other higher education,Education,18,334966.806,5823747.476
40-44 years,Female,Banyule,Tertiary - University or other higher education,Management and Commerce,27,333846.518,5823664.872
40-44 years,Female,Banyule,Tertiary - University or other higher education,Society and Culture,38,329647.512,5823747.476
40-44 years,Female,Banyule,Tertiary - University or other higher education,Creative Arts,20,327481.462,5817979.085
40-44 years,Female,Banyule,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3,333932.881,5823431.273
40-44 years,Female,Banyule,Tertiary - University or other higher education,Field of study inadequately described,3,329281.025,5825113.72
40-44 years,Female,Banyule,Tertiary - University or other higher education,Field of study not stated,4,334219.348,5826471.572
40-44 years,Female,Banyule,Tertiary - University or other higher education,Not applicable,10,331161.253,5826055.692
40-44 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Health,7,342292.195,5740640.287
40-44 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Education,4,391073.504,5759040.209
40-44 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4,363298.351,5736300.068
40-44 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13,370284.352,5723947.695
40-44 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,386721.193,5722032.521
40-44 years,Female,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,10,377034.027,5738609.197
40-44 years,Female,Bass Coast,Tertiary - University or other higher education,Natural and Physical Sciences,9,379987.992,5737968.168
40-44 years,Female,Bass Coast,Tertiary - University or other higher education,Health,3,363960.157,5740933.08
40-44 years,Female,Bass Coast,Tertiary - University or other higher education,Education,7,381609.865,5740640.287
40-44 years,Female,Bass Coast,Tertiary - University or other higher education,Management and Commerce,4,389001.367,5738935.391
40-44 years,Female,Bass Coast,Tertiary - University or other higher education,Society and Culture,19,388235.196,5735290.473
40-44 years,Female,Bass Coast,Tertiary - University or other higher education,Not applicable,6,381764.1,5739925.131
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Health,7,391290.649,5793023.225
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Education,8,430471.601,5760113.909
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,12,402899.725,5795744.754
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,11,399867.479,5812621.581
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4,421613.479,5811691.786
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6,398448.197,5811243.174
40-44 years,Female,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,14,420139.282,5823234.715
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Natural and Physical Sciences,3,415173.093,5822906.355
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",5,410352.511,5762109.829
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Health,20,454361.905,5777385.555
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Education,15,449218.26,5769963.298
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Management and Commerce,8,440560.729,5788124.735
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Society and Culture,12,403019.121,5801373.216
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Creative Arts,4,391162.272,5793466.645
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Field of study inadequately described,5,401372.896,5807160.984
40-44 years,Female,Baw Baw,Tertiary - University or other higher education,Not applicable,3,419233.375,5813386.308
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,329070.163,5802679.65
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,5,328837.843,5801718.331
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Education,7,327787.035,5804008.697
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,24,324574.746,5799902.699
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,15,324396.252,5799508.789
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,9,327787.035,5803235.924
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,326012.042,5794458.572
40-44 years,Female,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,9,328243.162,5802733.625
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,3,328212.94,5797554.058
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Engineering and Related Technologies,3,328887.146,5800550.635
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Health,22,324177.618,5802479.695
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Education,9,325956.75,5795663.027
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Management and Commerce,36,323979.302,5801029.413
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Society and Culture,32,326212.593,5794937.069
40-44 years,Female,Bayside (Vic.),Tertiary - University or other higher education,Creative Arts,13,324613.119,5800859.955
40-44 years,Female,Benalla,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,427776.552,5940358.551
40-44 years,Female,Benalla,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,419392.691,5915717.65
40-44 years,Female,Benalla,Tertiary - University or other higher education,Health,3,407612.298,5944216.444
40-44 years,Female,Benalla,Tertiary - University or other higher education,Education,9,424506.066,5918504.784
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3,330352.509,5812198.186
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,4,331274.306,5814844.667
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9,331652.106,5816067.423
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Health,12,326265.639,5809898.959
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Education,5,331683.93,5814719.901
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,36,327628.181,5816797.536
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,26,325891.627,5810470.524
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4,330409.767,5806871.789
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5,330420.579,5814290.097
40-44 years,Female,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,17,331211.815,5810999.89
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Natural and Physical Sciences,10,332073.197,5813937.228
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Information Technology,5,330142.01,5815053.897
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Engineering and Related Technologies,8,329640.276,5810949.745
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Architecture and Building,6,331659.504,5809640.012
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Health,55,331303.909,5809887.76
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Education,22,330137.82,5809068.277
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Management and Commerce,56,327628.181,5812897.491
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Society and Culture,57,332073.197,5816067.423
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Creative Arts,16,327117.811,5812647.611
40-44 years,Female,Boroondara,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3,330318.682,5815308.473
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Field of study inadequately described,3,324157.617,5809076.072
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Field of study not stated,6,331211.815,5815391.413
40-44 years,Female,Boroondara,Tertiary - University or other higher education,Not applicable,17,326343.524,5816508.808
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,8,306493.101,5821481.562
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5,305406.601,5812509.196
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,307060.6,5814753.236
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7,302389.308,5815760.961
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,303039.499,5814155.908
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Health,16,309115.611,5823633.999
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Education,19,306576.818,5821155.801
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,36,306766.224,5814791.501
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,36,306809.693,5819188.188
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,4,306010.775,5817582.119
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",16,305113.671,5822918.852
40-44 years,Female,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,46,304414.671,5814155.908
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Natural and Physical Sciences,5,308838.085,5821907.443
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Health,21,305406.601,5821907.443
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Education,19,308273.71,5821481.562
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Management and Commerce,42,305104.639,5827436.131
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Society and Culture,30,304844.121,5818587.855
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Creative Arts,3,304245.71,5814935.299
40-44 years,Female,Brimbank,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",9,304096.071,5813827.51
40-44 years,Female,Brimbank,Tertiary - University or other higher education,Not applicable,15,303853.687,5817225.204
40-44 years,Female,Buloke,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,138844.548,5965787.722
40-44 years,Female,Buloke,Tertiary - University or other higher education,Health,4,122357.712,5982699.532
40-44 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Health,4,292916.198,5935287.255
40-44 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,262017.967,5988342.523
40-44 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,14,314240.774,5972650.603
40-44 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,289665.252,5958144.218
40-44 years,Female,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,5,297681.271,5936513.067
40-44 years,Female,Campaspe,Tertiary - University or other higher education,Health,8,275733.736,5956226.101
40-44 years,Female,Campaspe,Tertiary - University or other higher education,Education,9,331911.134,5982657.851
40-44 years,Female,Campaspe,Tertiary - University or other higher education,Management and Commerce,5,304443.671,5985497.42
40-44 years,Female,Campaspe,Tertiary - University or other higher education,Society and Culture,4,289665.252,5950608.63
40-44 years,Female,Campaspe,Tertiary - University or other higher education,Creative Arts,5,321735.003,5956226.101
40-44 years,Female,Campaspe,Tertiary - University or other higher education,Not applicable,3,305431.675,5937519.839
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,367144.462,5780099.118
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,4,385756.18,5795487.11
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5,383219.525,5791238.886
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Health,14,362751.771,5791238.886
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Education,14,362751.771,5793959.981
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,31,369663.478,5778135.06
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,42,384514.592,5768309.687
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5,371102.807,5782003.595
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",9,375257.57,5792704.377
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,6,370346.656,5793586.092
40-44 years,Female,Cardinia,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,37,370306.587,5790152.015
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Natural and Physical Sciences,10,389263.535,5776060.102
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Information Technology,9,387948.472,5775977.606
40-44 years,Female,Cardinia,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",5,370346.656,5798730.502
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Health,35,385546.116,5783931.029
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Education,30,371624.632,5797097.599
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Management and Commerce,37,367239.183,5778230.783
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Society and Culture,35,381204.779,5761619.893
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Creative Arts,3,372609.723,5782139.672
40-44 years,Female,Cardinia,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6,380197.022,5775871.687
40-44 years,Female,Cardinia,Tertiary - University or other higher education,Not applicable,14,369269.991,5791320.21
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,13,354460.957,5771973.744
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,11,351500.529,5786135.415
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,13,352339.631,5770179.118
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5,345801.108,5795680.922
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,346834.586,5789904.09
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Health,43,347949.122,5774035.428
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Education,43,345801.108,5786735.281
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,119,356430.522,5784112.66
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,121,346858.265,5797741.445
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,20,351699.18,5792025.629
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",39,352002.485,5774700.61
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,10,350049.42,5771555.792
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,7,347301.187,5781179.035
40-44 years,Female,Casey,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,120,345207.9,5788932.885
40-44 years,Female,Casey,Tertiary - University or other higher education,Natural and Physical Sciences,16,348400.301,5777257.375
40-44 years,Female,Casey,Tertiary - University or other higher education,Information Technology,21,353606.117,5789945.567
40-44 years,Female,Casey,Tertiary - University or other higher education,Engineering and Related Technologies,9,350301.255,5786135.415
40-44 years,Female,Casey,Tertiary - University or other higher education,Architecture and Building,3,351699.18,5768360.747
40-44 years,Female,Casey,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",5,356937.819,5768230.521
40-44 years,Female,Casey,Tertiary - University or other higher education,Health,88,350611.03,5776404.5
40-44 years,Female,Casey,Tertiary - University or other higher education,Education,68,356483.705,5782880.905
40-44 years,Female,Casey,Tertiary - University or other higher education,Management and Commerce,81,357728.228,5791500.299
40-44 years,Female,Casey,Tertiary - University or other higher education,Society and Culture,76,351699.18,5791199.167
40-44 years,Female,Casey,Tertiary - University or other higher education,Creative Arts,9,350903.081,5797085.703
40-44 years,Female,Casey,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",12,352507.434,5797741.445
40-44 years,Female,Casey,Tertiary - University or other higher education,Field of study inadequately described,8,351011.224,5770641.655
40-44 years,Female,Casey,Tertiary - University or other higher education,Field of study not stated,7,349207.786,5788900.837
40-44 years,Female,Casey,Tertiary - University or other higher education,Not applicable,24,344580.897,5795419.845
40-44 years,Female,Central Goldfields,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,202987.023,5915813.86
40-44 years,Female,Central Goldfields,Tertiary - University or other higher education,Management and Commerce,3,213406.841,5898971.565
40-44 years,Female,Central Goldfields,Tertiary - University or other higher education,Not applicable,6,195222.563,5900403.668
40-44 years,Female,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6,211722.614,5775535.544
40-44 years,Female,Colac Otway,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,9,198114.767,5767698.257
40-44 years,Female,Colac Otway,Tertiary - University or other higher education,Natural and Physical Sciences,4,191115.435,5763076.355
40-44 years,Female,Colac Otway,Tertiary - University or other higher education,Society and Culture,8,197315.741,5772993.274
40-44 years,Female,Colac Otway,Tertiary - University or other higher education,Not applicable,3,222960.201,5758219.559
40-44 years,Female,Corangamite,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,175753.928,5805835.515
40-44 years,Female,Corangamite,Tertiary - University or other higher education,Society and Culture,6,183139.551,5750946.985
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,9,325978.431,5824144.503
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,7,325288.728,5824710.555
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,324677.677,5823931.949
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,324604.793,5824650.124
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Health,21,323821.482,5824622.291
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Education,11,323695.821,5821666.49
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,25,323363.858,5824162.233
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,29,329012.982,5824345.486
40-44 years,Female,Darebin,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,22,325657.204,5824655.969
